,Description
0,"September 2022. Iranian hackers targeted Albanian computer systems, forcing Albanian officials to temporarily shut down the Total Information Management System, a service used to track individuals entering and exiting Albania. This attack closely followed Albania’s decision to sever diplomatic ties with Iran as well as the American sanctions and NATO’s condemnation of an Iranian cyberattack against Albania in July. In the July attack, Iranian actor s deployed ransomware on Albanian Governme nt networks that destroyed data and disrupted government services.  September 2022. Iranian hackers targeted Albanian computer systems, forcing Albanian officials to temporarily shut down the Total Information Management System, a service used to track individuals entering and exiting Albania. This attack closely followed Albania’s decision to sever diplomatic ties with Iran as well as the American sanctions and NATO’s condemnation of an Iranian cyberattack against Albania in July. In the July attack, Iranian actor s deployed ransomware on Albanian Governme nt networks that destroyed data and disrupted government services. September 2022. Hackers targeted Montenegro’s government networks, rendering Montenegro’s main state websites and government information platforms inaccessible. Montenegrin officials blamed Russia for the attack. "
1,"September 2022. Hackers targeted the state -level parliamentary website of Bosnia and Herzegovina, rendering the sites and servers inaccessible for multiple weeks. "
2,September 2022. China accused the U.S. National Sec urity Agency (NSA) of numerous cyberattacks against China’s Northwestern Polytechnical University. Authorities claim the NSA stole user data and infiltrated digital communications networks. 
3,September 2022. The group Anonymous took responsibility for a se ries of cyberattacks against the Iranian government that took down two main Iranian government websites and the websites of several state media organizations. 
4,"September 2022. Hackers targeted the Mexican Defense Ministry and accessed six terabytes of data, including internal communications, criminal data, and data that revealed Mexico’s monitoring of Ken Salazar, the U.S. Ambassador to Mexico. Mexican President Andres Manuel Lopez Obrador confirmed the authenticity of the data, including personal health da ta released to the public. "
5,September 2022. A Russian -based hacking group targeted the website of the United Kingdom’s intelligence agency MI5 with a DDoS attack that temporarily took the site offline. 
6,"August 2022. Hackers breached Italy’s energy agency, Gestore dei Servizi Energetici (GSE),   compromising servers, blocking access to systems, and suspending access to the GSE website for a week. "
7,August 2022. Hackers used a DDoS attac k to temporarily take down the website of Taiwan’s presidential office . The Taiwanese government attributed the attack to foreign hackers and stated normal operations of the website resumed after 20 minutes. Taiwan’s Foreign Ministry also noted hackers targeted their website and th e main portal website for Taiwan’s government . 
8,August 2022. Hackers targeted the Finnish Parliament with a DDoS attack that rendered the Parliamentary website inaccessible. A Russian group claimed responsibility for the attack on Telegram. 
9,August 2022. Hackers targeted the website of Ukraine’s state energy agency respo nsible for the oversight of Ukraine’s nuclear power plants. The agency stated Russian hackers carried out the attack. 
10,August 2022. Hackers targeted the website of the Latvian Parliament with a DDoS attack that temporarily paralyzed the website’s server. A Russian hacking group claimed responsibility for the attack on Telegram. 
11,August 2022. Hackers targeted Greece’s largest natural gas distributor DESFA causing a system outage and data exposure . 
12,August 2022. A Russian group claimed responsibility for breaching a privately owned UK water supply company South Staffordshire Water and leaking files in an extortion attempt. 
13,"August 2022. Hackers targeted Montenegro’s government institutions, breaching the computer systems of several state bodies. Montenegro’s Defense Minister stated there was sufficient evidence to suspect Russia was behind the attack. "
14,"August 2022. A DDoS campaign targeted the websites of both government and private Estonian institutions. Estonia stated that the attack was largely repelled, and the impact was limited. "
15,August 2022. Hackers used phishing emails to deploy malware in government institutions and defense firms throughout Eastern Europe in January 2022. A report by Russian -based company Kaspersky linked the campaign to a Chinese hacking group. 
