,Unnamed: 0,Description,hacker_label,victim_label,industry_label,hacktype_label
830,830,"December 2010. British Foreign Minister William Hague reported attacks by a foreign po wer on the Foreign Ministry, a defense contractor and other âBritish interestsâ that evaded defenses by pretending to come from the White House. ",0,187,6,0
220,220,"December 2020. On Christmas Eve, hackers hit the Scottish Environment Protection Agency with a ransomware attack. After deciding not to pay the ransom, the hackers published the data that had been stolen. ",0,187,6,4
106,106,"November 2021 . After CISA publicly shared details on a vulnerability, Chinese hackers targeted nine companies and 370 servers between September and October using the same vulnerability. ",36,0,0,6
47,47,"April 2022 . Russian hackers targeted the Costa Rican Ministry of Finance in a cyberattac k, crippling tax collection and export systems. The newly elected President of Costa Rica declared a national emergency as a result of the attack and the group asked for $20 million in ransom or it plans to leak the stolen data. ",146,41,6,2
282,282,September 2020. Norway announced it had defended against two sets of cyber attacks that targeted the emails of several membe rs and employees of the Norwegian parliament as well as public employees in the Hedmark region. It later blamed Russia for the attack. ,146,133,6,0
758,758,"May 2013. The Syrian Electronic Army claims to have breached the Saudi Arabian Ministry of Defense email system, and leaked several confidential emails. ",172,154,2,2
654,654,"July 2016. Forensic evidence points to Russian intelligence agencies as responsible for the release of 20,000 emails from the Democratic National Committee. ",146,188,6,2
585,585,"October 2017. China allegedly carried out a cyberattack against a U.S. think tank and law firm, both involved with fugitive Chinese tycoon Guo Wengui. ",36,188,10,0
38,38,May 2022. A phishing campaign targeted the Jordan Ministry of Foreign Affairs. Researchers attributed t he attack to an Iranian cyber espionage actor. ,81,88,6,5
94,94,"January 2022. Hackers attacked several Israeli media outlets, including Maariv and the Jerusalem Post, posting threatening messages on their websites. One message stated ""we are close to you where you do not think about it"" in English and Hebrew. ",0,84,9,0
331,331,April 2020 . Suspected state -sponsored hackers targeted Chinese government agencies and Chinese diplomatic missions abroad by exploiting a zero -day vulnerability in virtual private networks servers ,0,36,6,6
849,849,"January 2010 . The PLA infiltrated the computer network of a Civilian Reserve Air Fleet (CRAF) contractor in which documents, flight details, credentials and passwords for encrypted email were stolen ",36,188,2,2
54,54,April 2022. Hackers targeted the Telegram accounts of Ukrainian government officials with a phishing attack in an attempt to gain access to the accounts. ,0,185,6,5
362,362,"November 2019 . A Russian -speaking hacking group t argeted a wide range of Kazakh individuals and organizations including government agencies, military personnel, foreign diplomats, journalists, dissidents, and others through a combination of spear phishing and physical device compromise. ",146,89,6,5
493,493,October 2018. News reports reveal that the Israel Defense Force requested that cybersecurity companies develop proposals for monitoring the personal correspondence of social media users. ,0,84,9,2
337,337,March 2020 . A suspe cted nation state hacking group was discovered to be targeting industrial sector companies in Iran ,0,81,8,0
222,222,"December 2020 . Chinese hackers targeted the Finnish parliament, breaching the email accounts of parliament members and other employees . ",36,61,6,0
564,564,February 2018. Officials at the Department of Homeland Security confirmed that Russian hackers successfully penetrated the voter registration rolls of several US states prior to the 2016 election. ,146,188,6,0
82,82,"February 2022. Since October 2021, a hacking group targeted Palestinian individuals and organizations with malware. Researchers suggest that the operat ion could be connected to a broader campaign by a hacking group commonly attributed to the cyber arm of Hamas that started in 2017. ",0,0,0,4
