,Unnamed: 0,Description,Attacker,Victim,Industry,Hacktype
765,765,"March 2013. The Syrian Electronic Army, a pro -Assad hacktivist group, hacked into major Western media organizations as part of a propaganda campaign. ",172,0,9,0
86,86,"January 2022. A Chinese hacking group breached several German pharma and tech firms. According to the German government, the hack into the networks of service providers and companies was primarily an attempt to steal intellectual property. ",36,66,1,2
46,46,April 2022. Iranian state tele vision claimed that the government foiled cyber intrusions that targeted more than 100 public sector agencies. They provided no further information on the incident. ,0,81,6,0
726,726,"September 2014. A false Occupy Central smartphone app with audio recording capabilities, likely of Chinese origin, targets Hong Kong protestors and accesses users' l ocations, call and message logs, and browser histories. ",36,76,0,4
898,898,"September 2007. Francis D elon, Secretary -General of National Defence in France, stated that information systems in France had been infiltrated by groups from China. ",36,62,2,0
671,671,"February 2016. The Internal Revenue Service (IRS) announced that a breach of its systems in May 2015 had compromised over 700,000 American taxpayers. The IRS suspected that a Russian tax fraud operation is responsible for the breach. ",146,188,5,0
14,14,"August 2022. Hackers targeted Montenegroâs government institutions, breaching the computer systems of several state bodies. Montenegroâs Defense Minister stated there was sufficient evidence to suspect Russia was behind the attack. ",146,120,6,0
858,858,"May 2009. The Homeland Security Information Network (HSIN) was hacked by unknown intruders. The hackers gained access to the data by getting into the HSIN account of a federal employee or contractor. The bulk of the data obtained was federal, but some state information was also accessed. ",0,188,6,0
525,525,July 2018. Australian National University (ANU) was found to have been breached by Chinese hackers in an attack believed to be motivat ed by a desire to siphon intellectual property from the institution. ,36,9,3,0
843,843,"January 2010. Intel disclosed that it experienced a cyberattack at about the same time that Google, Adobe, and others were attacked. The hackers exploited the vulnerabilities in Internet Explorer software that had been used in the other attacks as well. Intel said that there was no intellectual property or financial loss. ",0,188,11,6
441,441,"March 2019. Iranian hackers targeted thousands of people at more than 200 oil -and-gas and heavy machinery companies across the world, stealing corporate secrets and wiping data from computers. ",81,0,4,2
573,573,"December 2017. Iranian hackers used fake social network profiles and a fake news site to target academic researchers, human rights activists, media outlets, and political advisors ",81,0,9,3
694,694,"June 2015. Canada announced that it has experienced DDOS attacks against two government   websites. The attacks, which took down the Cana dian Security Intelligence Service (CSIS) and the general Canadian government website, Canada.ca also reportedly affected email, Internet access and IT services in the government. Anonymous has claimed responsibility, citing Canadaâs recently passed Anti-terrorism Act, 2015 as the reason behind the recent attack. ",32,0,6,1
71,71,"March 2022. Hackers linked to the Chinese government penetrated the networks belonging to government agencies of at least 6 different U.S. states in an espionage operation. Hackers took advantage of the Log4j vulne rability to access the networks, in addition to several other vulnerable internet -facing web applications. ",36,188,6,6
442,442,"March 2019. Following an attack on Indian military forces in Kashmir, Pakistani hackers targeted almost 100 Indian government websites and critical systems. Indian officials reported that they engaged in offensive cyber measures to counter the attacks. ",135,79,6,0
150,150,"June 2021. The Iranian government launched a widescale disinformation campaign, targeting WhatsApp groups, Telegram channels and messaging apps used by Israeli activists. The campaign aimed to advance political unrest and distrust in Israel. ",81,84,10,3
571,571,December 2017. French company Schneider Electric was forced to shut down operations of a power plant in the Middle East after malware compromised its industrial control systems. Analysis by security researchers indicated that the attack was sponsored by a nation -state. ,0,62,4,4
426,426,April 2019. Hackers used spoofed email addresses to conduct a disinfo rmation campaign in Lithuania to discredit the Defense Minister by spreading rumors of corruption. ,0,104,2,3
242,242,"November 2020 . A group of Vietnamese hackers created and maintained a number of fake websites devoted to news and activism in Southeast Asia that were used to profile users, re-direct to phishing pages, and distribute malware . ",194,0,0,3
50,50,April 2022. A Citizen Lab study discovered actors used NSO Group spyware to target at least 65 Catalonian activists and political figures. ,0,165,6,4
761,761,"May 2013. The U.S. identified a gang of eight hackers who extracted $45 million from banks in the UAE and Oman. The attacks eliminated the withdrawal limits on prepaid debit cards, permitting the hackers to withdraw massiv e amounts. ",0,186,5,0
744,744,September 2013. The U.S. Navy says that Iran hacked into unclassified networks. ,81,188,2,0
241,241,"November 2020 . A group of hackers for hire launched attacks against a group of targets in South Asia, and particularly India, Bangladesh, and Singapore. These attacks included the use of a custom backdoor and crede ntial theft . ",0,79,0,2
357,357,December 2019. Chinese hackers used custom malware to target a Cambodian government organization ,36,30,6,4
859,859,"May 2009. In May 2009, Merrick Bank, a leading issuer of credit cards, claimed it lost $16 million after hackers compromised as many as 40 million credit card accounts. ",0,188,5,0
599,599,"July 2017 . The Swedish Transport Agencyâs outsourced data is hacked, potentially compromising confidential information and classified information on military plans. ",0,170,12,2
114,114,"October 2021 . Hackers leaked data and photos from the Israeli Defense Ministry after gaining access to 165 servers and 254 websites, overall co mpiling around 11 terabytes of data. ",0,84,2,2
775,775,"January 2013. A Defense Science Board report found that Chinese hackers stole U.S. weapons systems designs including for the PAC -3, THAAD, Aegis, F/A -18 fighter jet, V -22 Osprey, Black   Hawk, and Littoral Combat Ship ",36,188,2,2
212,212,"February 2021 . Ten members of a cybercriminal gang w ere arrested after a campaign where they tricked telecom companies into assigning celebritiesâ phone numbers to new devices , stealing more than $100 million worth of cryptocurrencies . ",0,0,1,5
164,164,"May 2021. Cybersecurity researchers identified a North Korean hacking group to be responsible for a cyber espionage campaign, targeting high profile South Korean government officials, utilizing a phishing methodology. The groupâs targets were based in South Korea and included: the Korea Internet and Security Agency (KISA), ROK Ministry of Foreign Affairs, Ambassador of the Embassy of Sri Lanka to the State (in ROK), International Atomic Energy Agency Nucle ar Security Officer, Deputy Consul General at Korean Consulate General in Hong Kong, Seoul   National University, and Daishin Securities. ",92,93,6,5
716,716,November 2014. Sony Pictures Entertainment is hacked with the malware deleting data and the hackers posting online employeesâ personal information and unreleased films. An FBI investigation revealed North Korea to be behi nd the attack. ,92,87,9,4
623,623,"April 2017. Cybersecurity researchers revealed a growing cyber -espionage campaign originating in China and targeting construction, engineering, aerospa ce and telecom companies, as well as government agencies, in the U.S., Europe, and Japan. ",36,188,6,2
74,74,"February 2022. The websites of the Ukrainian Cabinet of Ministers and Ministries of Foreign Affairs, Infrastructure, and Education were disrupted in the days before Russian troops invaded Ukraine. Wiper malware was also used to penetrate the networks of one Ukrainian financial institution and two government contractors. ",146,185,6,1
202,202,February 2021 . Hackers associated with the Chinese military conducted a surveillance campaign against Tibetans both in China and abroad . ,36,36,0,2
578,578,"October 2017. A major wave of ransomware infections hits media organizations, train stations, airports, and government agencies in Russia and Eastern Europe. Security researchers found strong evidence linking the attack to the creators of NotPetya, and noted that the ma lware used leaked NSA -linked exploits to move through networks. Ukrainian police later reported that the ransomware was a cover for a quiet phishing campaign undertaken by the same actor to gain remote access to financial and other confidential data. ",0,146,6,4
64,64,"March 2022. Hackers targeted Greenlandâs parliamentary authority in an apparent espionage operation, forcing the parliament to cancel meetings and slowing social benef it payments. ",0,47,6,2
528,528,"June 2018. Chines e hackers were found to be engaged in a cyber espionage campaign to collect data from satellite, telecom, and defense organizations in the U.S. and Southeast Asia. ",36,188,1,2
169,169,"May 2021 . A large DDoS attack disabled the ISP used by Belgiumâs government, impacting more than 200 organizations causing the cancellation of multiple Parliamentary meetings ",0,17,6,1
