,Description
0,"September 2022. Iranian hackers targeted Albanian computer systems, forcing Albanian officials to temporarily shut down the Total Information Management System, a service used to track individuals entering and exiting Albania. This attack closely followed Albania’s decision to sever diplomatic ties with Iran as well as the American sanctions and NATO’s condemnation of an Iranian cyberattack against Albania in July. In the July attack, Iranian actor s deployed ransomware on Albanian Governme nt networks that destroyed data and disrupted government services. "
1,"September 2022. Hackers targeted Montenegro’s government networks, rendering Montenegro’s main state websites and government information platforms inaccessible. Montenegrin officials blamed Russia for the attack. "
2,"September 2022. Hackers targeted the state -level parliamentary website of Bosnia and Herzegovina, rendering the sites and servers inaccessible for multiple weeks. "
3,September 2022. China accused the U.S. National Sec urity Agency (NSA) of numerous cyberattacks against China’s Northwestern Polytechnical University. Authorities claim the NSA stole user data and infiltrated digital communications networks. 
4,September 2022. The group Anonymous took responsibility for a se ries of cyberattacks against the Iranian government that took down two main Iranian government websites and the websites of several state media organizations. 
5,"September 2022. Hackers targeted the Mexican Defense Ministry and accessed six terabytes of data, including internal communications, criminal data, and data that revealed Mexico’s monitoring of Ken Salazar, the U.S. Ambassador to Mexico. Mexican President Andres Manuel Lopez Obrador confirmed the authenticity of the data, including personal health da ta released to the public. "
6,September 2022. A Russian -based hacking group targeted the website of the United Kingdom’s intelligence agency MI5 with a DDoS attack that temporarily took the site offline. 
7,"August 2022. Hackers breached Italy’s energy agency, Gestore dei Servizi Energetici (GSE),   compromising servers, blocking access to systems, and suspending access to the GSE website for a week. "
8,August 2022. Hackers used a DDoS attac k to temporarily take down the website of Taiwan’s presidential office . The Taiwanese government attributed the attack to foreign hackers and stated normal operations of the website resumed after 20 minutes. Taiwan’s Foreign Ministry also noted hackers targeted their website and th e main portal website for Taiwan’s government . 
9,August 2022. Hackers targeted the Finnish Parliament with a DDoS attack that rendered the Parliamentary website inaccessible. A Russian group claimed responsibility for the attack on Telegram. 
10,August 2022. Hackers targeted the website of Ukraine’s state energy agency respo nsible for the oversight of Ukraine’s nuclear power plants. The agency stated Russian hackers carried out the attack. 
11,August 2022. Hackers targeted the website of the Latvian Parliament with a DDoS attack that temporarily paralyzed the website’s server. A Russian hacking group claimed responsibility for the attack on Telegram. 
12,August 2022. Hackers targeted Greece’s largest natural gas distributor DESFA causing a system outage and data exposure . 
13,August 2022. A Russian group claimed responsibility for breaching a privately owned UK water supply company South Staffordshire Water and leaking files in an extortion attempt. 
14,"August 2022. Hackers targeted Montenegro’s government institutions, breaching the computer systems of several state bodies. Montenegro’s Defense Minister stated there was sufficient evidence to suspect Russia was behind the attack. "
15,"August 2022. A DDoS campaign targeted the websites of both government and private Estonian institutions. Estonia stated that the attack was largely repelled, and the impact was limited. "
16,August 2022. Hackers used phishing emails to deploy malware in government institutions and defense firms throughout Eastern Europe in January 2022. A report by Russian -based company Kaspersky linked the campaign to a Chinese hacking group. 
17,"July 2022. Hackers targeted Iran’s Islamic Culture and Communication Organiza tion (ICCO) . The attack took down at least 6 websites , placed images of Iranian resistance leaders on fifteen additional sites, wiped databases and computers, and allowed hackers to obtain access to sensitive ICCO data . "
18,July 2022. A hacker claimed to acquire records on 1 billion Chinese from a Shanghai police databas e and posted the data for sale online.   
19,"July 2022. Belgium’s Foreign Ministry accused China of a cyberespionage campaign against Belgian targets, including Belgium’s Ministries of Interior and Defense. A spokesperson for the Chinese Embassy in Belgium denied the accusations. "
20,July 2022. Hackers targeted social media accounts owned by the British Royal Army. The attack included the takeover of the British Army’s Twitter and YouTube accounts. 
21,"July 2022. Hackers targeted Lithuania’s state -owned energy provider in a DDoS attack. Killnet, which Lithuanian of ficials link to Russia, claimed responsibility for the attack. "
22,"July 2022. Hackers temporarily took down websites belonging to the Albanian Prime Minister's Office and the Parliament, and the e -Albania portal used to access public services. "
23,July 2022. Hackers breached a Ukrainian media company to broadcast on multiple radio stations that Ukrainian President Volodymyr Zelenskyy was in critical condition. Zelenskyy refuted the claims and blamed Russia for the attack. 
24,"July 2022. China stated the United S tates stole 97 billion pieces of global internet data and 124 billion pieces of telephone data in June , specifically blaming the National Security Agency (NSA)'s Office of Tailored Access Operations (TAO) . "
25,"June 2022. Hackers targeted Lithuania’s state railway, airports, media companies, and government ministries with DDoS attacks. A Russian -backed hacking group claimed responsibility for the attack. "
26,"June 2022. The FBI, National Security Agency (NSA) and CISA announ ced that Chinese state -sponsored hackers targeted and breached major telecommunications companies and network service providers since at least 2020. "
27,"June 2022. Hackers targeted former Israeli officials, military personnel, and a former U.S. Ambassador to Israel. An Israeli cybersecurity firm stated Iranian -linked actors used a phishing campaign to gain access to the targets’ inboxes, personally identifiable information, and identity documents. "
28,"June 2022. Hackers targeted three Iranian steel companies, forcing the country’s state -owned plant to halt production. "
